,Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
1,Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833,130/659,1.30E-07,0.000167866,0,0,1.730547182,27.43469724,PI4K2B;LPGAT1;ECI1;INPPL1;RORA;CCNC;MSMO1;LCLAT1;NSDHL;HPGDS;COL4A3BP;OSBP;EP300;CPNE3;PIP4K2C;MLYCD;PRKACB;FADS1;ACOT9;STARD4;CPT1A;DGAT1;SACM1L;ACOT11;ACSL4;OCRL;INPP4A;TIAM2;ALDH3A2;INPP4B;CYP2U1;TBL1XR1;GPD2;MAPKAPK2;FAR1;TRIB3;CLOCK;MTMR1;IDI1;ABHD4;ABHD3;PEX11A;ALOX15;ABHD5;ACACA;PLD3;MTMR7;PLD2;PTDSS1;SGPL1;EBP;PTPMT1;INPP5D;PMVK;ARSK;PIP5K1C;KDSR;HMGCLL1;ARSB;FDFT1;CTSA;IDH1;DHCR24;NR1D1;SYNJ2;SQLE;NCEH1;SYNJ1;STAR;SP1;CYP1A1;PI4KA;DEGS1;CDS2;SLC25A1;CHD9;LPCAT1;FHL2;PIK3CD;CROT;AACS;PIK3CG;GLIPR1;SPTLC2;ACADL;SMPD1;ABCD1;NCOA1;ELOVL1;CERS4;NCOA2;SREBF1;CERS5;PCYT1B;PCYT1A;HMGCS1;LSS;SREBF2;MED22;PIK3CA;ACOX1;MTF1;AGPS;ACSBG1;ANGPTL4;ACOX3;CERS2;ASAH1;SEC23A;GBA;HMGCR;GDPD5;HSD17B7;AGPAT2;LMF2;PTGS1;AGPAT4;SC5D;LDLR;MBTPS1;MMAA;TXNRD1;DDHD2;GALC;NUDT7;GPAM;PNPLA6;SEC24D;CRAT;LPIN2
2,Cholesterol biosynthesis Homo sapiens R-HSA-191273,13/23,7.01E-07,0.000451254,0,0,8.99742268,127.504077,IDI1;HMGCS1;DHCR24;MSMO1;HMGCR;HSD17B7;LSS;SQLE;EBP;NSDHL;PMVK;SC5D;FDFT1
3,Activation of gene expression by SREBF (SREBP) Homo sapiens R-HSA-2426168,18/42,1.15E-06,0.00048191,0,0,5.196960667,71.07916224,NCOA1;IDI1;NCOA2;SREBF1;HMGCS1;CHD9;HMGCR;LSS;ACACA;SREBF2;SQLE;GPAM;TBL1XR1;SP1;MTF1;PMVK;SC5D;FDFT1
4,Regulation of cholesterol biosynthesis by SREBP (SREBF) Homo sapiens R-HSA-1655829,21/55,1.50E-06,0.00048191,0,0,4.282500351,57.43819896,NCOA1;NCOA2;SREBF1;IDI1;MBTPS1;SEC23A;HMGCS1;CHD9;HMGCR;LSS;SREBF2;ACACA;SQLE;GPAM;TBL1XR1;SP1;MTF1;PMVK;SC5D;SEC24D;FDFT1
5,Asparagine N-linked glycosylation Homo sapiens R-HSA-446203,59/259,4.39E-06,0.001131284,0,0,2.057017367,25.37497622,B4GALT1;ST6GALNAC2;AREG;MANEA;GOLGA2;FPGT;TMED3;TMED7;CTSC;PDIA3;ALG9;ALG6;ALG2;MOGS;ARFGAP3;DHDDS;DYNC1LI2;TRAPPC6B;GORASP1;B4GALT4;ST6GALNAC6;B4GALT5;RAB1A;SEC23A;RPN2;COPB1;RAB1B;DCTN4;RPN1;SEL1L;GOSR1;TGFA;DERL2;UAP1;FUOM;LMAN1;FUT8;OS9;MAN2A1;LMAN2;AMDHD2;ST3GAL4;ST8SIA4;ST3GAL6;MGAT1;MGAT2;UGGT1;EDEM3;CTSA;DYNC1H1;SEC16A;TRAPPC4;GBF1;GFPT1;NAGK;MGAT4B;STT3A;COPG1;SEC24D
6,Pre-NOTCH Processing in Golgi Homo sapiens R-HSA-1912420,18-Oct,1.74E-05,0.003211372,0,0,8.642079208,94.68643494,NOTCH2;LFNG;B4GALT1;SEL1L;ATP2A3;ST3GAL4;ATP2A2;FURIN;ST3GAL6;RAB6A
7,Anchoring of the basal body to the plasma membrane Homo sapiens R-HSA-5620912,28/97,1.75E-05,0.003211372,0,0,2.815814271,30.85004104,CCP110;ACTR1A;HAUS8;PPP2R1A;PRKAR2B;TCTN3;CNTRL;CEP250;CEP192;CEP76;CEP290;YWHAG;CLASP1;DYNC1H1;ODF2;NDE1;HAUS4;SCLT1;KIF24;HAUS3;CKAP5;TUBB4A;RAB11A;AHI1;AKAP9;CEP162;CEP89;SDCCAG8
8,Assembly of the primary cilium Homo sapiens R-HSA-5617833,43/187,6.54E-05,0.008794104,0,0,2.075538947,19.99700916,ARL6;CCP110;PKD2;PKD1;HDAC6;ACTR1A;HAUS8;ARL13B;PPP2R1A;PRKAR2B;TCTN3;TTC21B;TCTEX1D2;CNTRL;CEP250;CEP192;CEP76;CEP290;YWHAG;BBS4;CLASP1;DYNC1H1;EXOC8;ODF2;NDE1;GBF1;HAUS4;SCLT1;KIF24;HAUS3;CKAP5;TUBB4A;RAB11A;IFT20;AHI1;IFT43;BBS12;AKAP9;EXOC3;CEP162;EXOC6;CEP89;SDCCAG8
9,Cytosolic tRNA aminoacylation Homo sapiens R-HSA-379716,24-Nov,6.78E-05,0.008794104,0,0,5.850664391,56.16262833,YARS;CARS;NARS;KARS;LARS;MARS;SARS;GARS;IARS;EPRS;AARS
10,"Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734",48/217,7.19E-05,0.008794104,0,0,1.975260705,18.8434949,SLC25A1;CHD9;ECI1;PEX11A;LPCAT1;FHL2;CCNC;RORA;HMGCR;LCLAT1;AGPAT2;AACS;ACACA;AGPAT4;GLIPR1;ACADL;EP300;HMGCLL1;FADS1;FDFT1;NCOA1;ACOT9;NCOA2;ELOVL1;SREBF1;CPT1A;DGAT1;HMGCS1;MMAA;TXNRD1;ACOT11;ACSL4;NR1D1;SREBF2;TIAM2;MED22;GPAM;TBL1XR1;SP1;ACOX1;MTF1;GPD2;CYP1A1;TRIB3;ACSBG1;ANGPTL4;CLOCK;LPIN2
11,Loss of Nlp from mitotic centrosomes Homo sapiens R-HSA-380259,21/69,8.19E-05,0.008794104,0,0,3.031001392,28.52055023,DYNC1H1;ODF2;NDE1;HAUS4;CCP110;HAUS3;CKAP5;TUBB4A;ACTR1A;HAUS8;PPP2R1A;PRKAR2B;CNTRL;AKAP9;CEP250;CEP192;CEP290;CEP76;YWHAG;CLASP1;SDCCAG8
12,Loss of proteins required for interphase microtubule organization?from the centrosome Homo sapiens R-HSA-380284,21/69,8.19E-05,0.008794104,0,0,3.031001392,28.52055023,DYNC1H1;ODF2;NDE1;HAUS4;CCP110;HAUS3;CKAP5;TUBB4A;ACTR1A;HAUS8;PPP2R1A;PRKAR2B;CNTRL;AKAP9;CEP250;CEP192;CEP290;CEP76;YWHAG;CLASP1;SDCCAG8
13,Phospholipid metabolism Homo sapiens R-HSA-1483257,38/161,9.46E-05,0.008981319,0,0,2.145651204,19.88164865,PI4K2B;MTMR1;LPGAT1;ABHD4;ABHD3;INPPL1;LPCAT1;PIK3CD;GDPD5;LCLAT1;AGPAT2;PLD3;PIK3CG;MTMR7;PLD2;AGPAT4;PTDSS1;INPP5D;PTPMT1;CPNE3;PIP4K2C;PIP5K1C;PCYT1B;PCYT1A;DGAT1;SACM1L;DDHD2;OCRL;SYNJ2;INPP4A;INPP4B;SYNJ1;PIK3CA;GPAM;PI4KA;PNPLA6;LPIN2;CDS2
14,PI Metabolism Homo sapiens R-HSA-1483255,19/60,9.76E-05,0.008981319,0,0,3.209275272,29.63572212,PI4K2B;MTMR1;SACM1L;INPPL1;PIK3CD;OCRL;SYNJ2;GDPD5;PIK3CG;MTMR7;INPP4A;INPP4B;PIK3CA;SYNJ1;INPP5D;PI4KA;PIP4K2C;PIP5K1C;PNPLA6
15,Membrane Trafficking Homo sapiens R-HSA-199991,80/420,0.000113095,0.009711131,0,0,1.641308254,14.91502481,SCOC;CLTC;GOLIM4;AP4E1;AREG;KIF15;RAB43;GOLGA2;FTH1;KIF5B;AP1S2;TMED3;KIF13B;AKT1;TMED7;CTSC;YWHAG;EXOC8;RALGAPA2;VPS37C;VPS37A;OCRL;ARFGAP3;VAMP8;DYNC1LI2;RALGAPB;KIF16B;TRAPPC6B;GORASP1;EXOC3;EXOC6;VAMP4;STAM2;PAFAH1B2;RHOQ;RAB1A;NBAS;SEC23A;SRC;RAB1B;COPB1;DCTN4;GOSR1;TGFA;KLC1;GNS;LMAN1;KLC4;KLC2;CYTH4;MAN2A1;LMAN2;MYO6;VPS54;SFN;RAB6A;TBC1D8B;DYNC1H1;RIC1;SEC16A;TRAPPC4;SURF4;GBF1;M6PR;HIP1R;MYO5A;LNPEP;RAB11A;IGF2R;RAB10;TJP1;MYO1C;RAB14;CPD;YIPF6;RAB3GAP2;COPG1;SEC24D;RAB3GAP1;PICALM
16,Synthesis of PIPs at the plasma membrane Homo sapiens R-HSA-1660499,13/34,0.0001466,0.011801318,0,0,4.281786942,37.79876411,PI4K2B;MTMR1;INPPL1;PIK3CD;SYNJ2;PIK3CG;INPP4A;INPP4B;PIK3CA;SYNJ1;INPP5D;PIP5K1C;PIP4K2C
